Project,Category,SubCategory,Region,Country,AE,MShre,TE,SOW
1,Telecommunications,Mobile Handsets,Africa,Egypt,0.07227,0.44346,0.44346,
1,Telecommunications,Mobile Handsets,Africa,Egypt,0.31834,0,0,
1,Telecommunications,Mobile Handsets,Africa,Egypt,0.66434,0.22173,0.22173,
1,Telecommunications,Mobile Handsets,Africa,Egypt,1.82739,1.55211,1.55211,
1,Telecommunications,Mobile Handsets,Africa,Egypt,71.46033,85.14412,85.14412,
1,Telecommunications,Mobile Handsets,Africa,Egypt,21.2403,10.86475,10.86475,
1,Telecommunications,Mobile Handsets,Africa,Egypt,4.41687,1.77384,1.77384,
2,Telecommunications,Mobile Handsets,Africa,Nigeria,15.92005,8.80503,8.80503,
2,Telecommunications,Mobile Handsets,Africa,Nigeria,9.9863,4.40252,4.40252,
2,Telecommunications,Mobile Handsets,Africa,Nigeria,0.37328,0,0,
2,Telecommunications,Mobile Handsets,Africa,Nigeria,3.11698,0.41929,0.41929,
2,Telecommunications,Mobile Handsets,Africa,Nigeria,4.3607,2.09644,2.09644,
2,Telecommunications,Mobile Handsets,Africa,Nigeria,4.6422,3.14465,3.14465,
2,Telecommunications,Mobile Handsets,Africa,Nigeria,61.59985,81.13208,81.13208,
3,FMCG,Beverages,Africa,South Africa,0,0.26151,0,
3,FMCG,Beverages,Africa,South Africa,0,0.11376,0,
3,FMCG,Beverages,Africa,South Africa,0.7,0.23918,0.4,
3,FMCG,Beverages,Africa,South Africa,1.2,0.0013,0.6,
3,FMCG,Beverages,Africa,South Africa,1,2.18404,0.7,
3,FMCG,Beverages,Africa,South Africa,2.5,1.14874,1.8,
3,FMCG,Beverages,Africa,South Africa,2.4,0.61624,1.9,
3,FMCG,Beverages,Africa,South Africa,2.8,3.46736,2.3,
3,FMCG,Beverages,Africa,South Africa,2.7,1.74493,2.3,
3,FMCG,Beverages,Africa,South Africa,3.6,3.60135,2.5,
3,FMCG,Beverages,Africa,South Africa,3.3,1.71609,2.9,
3,FMCG,Beverages,Africa,South Africa,4.8,2.86257,3.6,
3,FMCG,Beverages,Africa,South Africa,5,1.72177,4.4,
3,FMCG,Beverages,Africa,South Africa,6.6,3.33808,5.7,
